CMP1,Entry,PLATE,ROW,COL,LATID,Supplier,CAT,Name,Conc_mM,IC50,Yeast_Active,Pubchem_CID,Notes
CMP2891,52,LAT001,D,8,LAT001D08,Microsource,1500245,Diflunisal,2.5,15,-,3059,"Analgesic, Antiinflammatory    "
CMP3051,53,LAT001,E,8,LAT001E08,Microsource,1500260,Pyrithione Zinc,2.5,9.3,+,26041,"Antibacterial, Antifungal, Antiseborrheic    "
CMP3162,54,LAT001,F,8,LAT001F08,Microsource,1500266,Doxycycline Hydrochloride,2.5,8.1,-,5282374,Antibacterial    
CMP3273,55,LAT001,G,8,LAT001G08,Microsource,1502258,Monensin Sodium ,2.5,0.27,-,5702247,"Natural product, Natural Product, ex Streptomyces cinnamonensis Antiprotozal Monensin A is shown    "
CMP3384,56,LAT001,H,8,LAT001H08,Microsource,1500308,Flurbiprofen,2.5,39,-,3394,"Antiinflammatory, Analgesic    "
CMP3317,57,LAT001,A,9,LAT001A09,Microsource,1500309,Furazolidone,2.5,56,-,5353636,Antimicrobial    
CMP780,58,LAT001,B,9,LAT001B09,Microsource,1500313,Gemfibrozil,2.5,37,-,3463,Antihyperlipoproteinemic    
CMP1891,59,LAT001,C,9,LAT001C09,Microsource,1500315,Gentian Violet,2.5,2.5,+,313,"Antibacterial, Anthelmintic    "
CMP2951,60,LAT001,D,9,LAT001D09,Microsource,1500328,Hexachlorophene,2.5,4.3,+,3598,Antiinfective (Topical)    
CMP3062,61,LAT001,E,9,LAT001E09,Microsource,1500341,Hydroflumethiazide,2.5,>100 ,-,3647,"Antihypertensive, Diuretic >100    "
CMP3173,62,LAT001,F,9,LAT001F09,Microsource,1500343,Hydroxyprogesterone Caproate,2.5,>100 ,-,3653,Progestogen >100    
CMP3284,63,LAT001,G,9,LAT001G09,Microsource,1500347,Ibuprofen,2.5,85,-,3672,Antiinflammatory    
CMP3395,64,LAT001,H,9,LAT001H09,Microsource,1500350,Indomethacin,2.5,25,-,3715,"Antiinflammatory, Antipyretic, Analgesic    "
CMP3428,65,LAT001,A,10,LAT001A10,Microsource,1500362,Ketoconazole,2.5,3.6,+,3823,Antifungal    
CMP891,66,LAT001,B,10,LAT001B10,Microsource,1500398,Methotrexate,2.5,0.045,-,4112,"Antineoplastic, Antirheumatic, Folic Acid Antagonist    "
CMP2002,67,LAT001,C,10,LAT001C10,Microsource,1500606,Valproate Sodium,2.5,47,-,14047,Anticonvulsant    
CMP2962,68,LAT001,D,10,LAT001D10,Microsource,306001,Phenylbutyric Acid,2.5,6.3,-,4775,Antiinflammatory    
CMP3073,69,LAT001,E,10,LAT001E10,Microsource,1501142,Sulfachlorpyridazine,2.5,0.88,-,6634,Antibacterial    
CMP3184,70,LAT001,F,10,LAT001F10,Microsource,1500291,Ethinyl Estradiol,2.5,69,-,3285,"Estrogen, Plus Progestogen As Oral Contraceptive    "
CMP3295,71,LAT001,G,10,LAT001G10,Microsource,1503403,Exalamide,2.5,39,-,3316,Antifungal    
CMP3406,72,LAT001,H,10,LAT001H10,Microsource,1503610,Benzalkonium Chloride,2.5,5.4,+,23705,Antiinfective (Topical)    
CMP3539,73,LAT001,A,11,LAT001A11,Microsource,1503244,Lasalocid Sodium,2.5,0.41,-,2724110,"Natural Product, ex Streptomyces lasaliensis Antibiotic    "
CMP1002,74,LAT001,B,11,LAT001B11,Microsource,1503602,"Salinomycin, Sodium",2.5,0.53,+,5702245,"Natural Product, ex Streptomyces albus Antibiotic    "
CMP2113,75,LAT001,C,11,LAT001C11,Microsource,1503253,Methylbenzethonium Chloride,2.5,14,+,4135,Antiseptic (Topical)    
CMP2973,76,LAT001,D,11,LAT001D11,Microsource,1503231,Nimesulide,2.5,21,-,4495,Antiinflammatory    
CMP3084,77,LAT001,E,11,LAT001E11,Microsource,1503214,Edoxudine,2.5,>100 ,-,66377,Antiviral >100    
CMP3195,78,LAT001,F,11,LAT001F11,Microsource,1503227,Perhexiline Maleate,2.5,22,-,5284439,Coronary Vasodilator    
CMP3306,79,LAT001,G,11,LAT001G11,Microsource,1503127,Dequalinium Chloride,2.5,18,+,2497,Antiseptic    
CMP3417,80,LAT001,H,11,LAT001H11,Microsource,1503042,Artemisinin,2.5,43,-,2240,"Natural Product, ex Artemisia annua Antimalarial    "
CMP3429,81,LAT002,A,2,LAT002A02,Microsource,1502232,Camptothecin,2.5,0.73,-,2538,"Natural Product, ex Camptotheca acuminata Antineoplastic    "
CMP3540,82,LAT002,B,2,LAT002B02,Microsource,231017,Orthothymotinic Acid,2.5,11,-,11052,"Analgesic, Disinfectant    "
CMP4,83,LAT002,C,2,LAT002C02,Microsource,1502107,Cisplatin,2.5,37,-,5460033,"Antineoplastic, Convulsant    "
CMP115,84,LAT002,D,2,LAT002D02,Microsource,1502108,Antimycin A,2.5,7.3,-,2204,"Natural Product, ex Streptomyces spp Antifungal, Antiviral, Interferes In Cytochrome Oxidation    "
CMP226,85,LAT002,E,2,LAT002E02,Microsource,1501155,Sulfameter,2.5,3.5,-,5326,Antibacterial    
CMP337,86,LAT002,F,2,LAT002F02,Microsource,1501147,Sulfamonomethoxine,2.5,3.7,-,5332,Antibacterial    
CMP448,87,LAT002,G,2,LAT002G02,Microsource,1501185,Econazole Nitrate,2.5,25,+,68589,Antifungal    
CMP559,88,LAT002,H,2,LAT002H02,Microsource,1502021,Phthalylsulfathiazole,2.5,0.93,-,4806,Antimicrobial    
CMP3440,89,LAT002,A,3,LAT002A03,Microsource,1501148,Sulconazole Nitrate,2.5,2.1,+,65495,Antifungal    
CMP3551,90,LAT002,B,3,LAT002B03,Microsource,1501143,Sulfaphenazole,2.5,5.5,-,5335,Antibacterial    
CMP15,91,LAT002,C,3,LAT002C03,Microsource,1501156,Sulfamethoxypyridazine,2.5,4.5,-,5330,Antibacterial    
CMP126,92,LAT002,D,3,LAT002D03,Microsource,1501187,Flunisolide,2.5,7.6,-,3379,Antiinflammatory    
CMP237,93,LAT002,E,3,LAT002E03,Microsource,1501146,Sulfaguanidine,2.5,5.5,-,5324,   
CMP348,94,LAT002,F,3,LAT002F03,Microsource,1501144,Sulfadimethoxine,2.5,4.7,-,5323,Antibacterial    
CMP459,95,LAT002,G,3,LAT002G03,Microsource,1503806,Homidium Bromide,2.5,23,-,3624,"Antiprotozoal, Intercalcates D   "
CMP570,96,LAT002,H,3,LAT002H03,Microsource,1500550,Sulfamethoxazole,2.5,0.79,-,5329,"Antibacterial, Antipneumocystis    "
CMP3451,97,LAT002,A,4,LAT002A04,Microsource,1500546,Sulfadiazine,2.5,0.85,-,5215,Antibacterial    
CMP3562,98,LAT002,B,4,LAT002B04,Microsource,1500575,Thioridazine Hydrochloride,2.5,71,-,5452,Antipsychotic    
CMP26,99,LAT002,C,4,LAT002C04,Microsource,1500544,Sulfabenzamide,2.5,2.8,-,5319,Antibacterial    
CMP137,100,LAT002,D,4,LAT002D04,Microsource,1500549,Sulfamethizole,2.5,2.1,-,5328,Antibacterial    
CMP248,101,LAT002,E,4,LAT002E04,Microsource,1500566,Tetracycline Hydrochloride,2.5,13,-,5497101,"Natural Product, ex Streptomyces spp Antiamebic, Antibacterial, Antirickettsial    "
CMP359,102,LAT002,F,4,LAT002F04,Microsource,1500521,Pyrvinium Pamoate,2.5,8.1,-,5702110,Anthelmintic    
CMP470,103,LAT002,G,4,LAT002G04,Microsource,1500457,Oxytetracycline,2.5,10,-,5280972,Antibacterial    
CMP581,104,LAT002,H,4,LAT002H04,Microsource,1500434,Nitrofurazone,2.5,27,-,1839,Antiinfective (Topical)    
CMP3462,105,LAT002,A,5,LAT002A05,Microsource,1500551,Sulfapyridine,2.5,23,-,5336,Antibacterial    
CMP3573,106,LAT002,B,5,LAT002B05,Microsource,1500437,Norethindrone,2.5,31,-,4536,Progestogen    
CMP37,107,LAT002,C,5,LAT002C05,Microsource,1500555,Sulfisoxazole,2.5,0.84,-,5344,Antibacterial    
CMP148,108,LAT002,D,5,LAT002D05,Microsource,1500545,Sulfacetamide,2.5,1.3,-,5320,Antibacterial    
CMP259,109,LAT002,E,5,LAT002E05,Microsource,1500438,Norethindrone Acetate,2.5,21,-,5832,Oral Contraceptive (In Combination With Estrogen)    
CMP370,110,LAT002,F,5,LAT002F05,Microsource,1500480,Phenolphthalein,2.5,24,-,4764,Cathartic    
CMP481,111,LAT002,G,5,LAT002G05,Microsource,1500548,Sulfamethazine,2.5,9.5,-,5327,Antibacterial    
CMP592,112,LAT002,H,5,LAT002H05,Microsource,1500413,Miconazole Nitrate,2.5,2.3,+,68553,Antifungal (Topical)    
CMP3473,113,LAT002,A,6,LAT002A06,Microsource,1500425,(+)Naproxen,2.5,90,-,1302,"Antiinflammatory, Analgesic, Antipyretic    "
CMP3584,114,LAT002,B,6,LAT002B06,Microsource,1500433,Nitrofurantoin,2.5,23,-,4509,Antibacterial    
CMP48,115,LAT002,C,6,LAT002C06,Microsource,1500508,Progesterone,2.5,25,-,4920,Progestogen    
CMP159,116,LAT002,D,6,LAT002D06,Microsource,1500547,Sulfamerazine,2.5,3.4,-,5325,Antibacterial    
CMP270,117,LAT002,E,6,LAT002E06,Microsource,1500553,Sulfathiazole,2.5,2.7,-,5340,Antibacterial    
CMP381,118,LAT002,F,6,LAT002F06,Microsource,1500491,Piroxicam,2.5,25,-,5280452,Antiinflammatory    
CMP492,119,LAT002,G,6,LAT002G06,Microsource,1500520,Pyrimethamine,2.5,12,-,4993,Antimalarial    
CMP603,120,LAT002,H,6,LAT002H06,Microsource,1503908,Paclitaxel,2.5,0.42,-,4666,"Natural Product, ex Taxus breviofolia Antineoplastic    "
CMP3484,121,LAT002,A,7,LAT002A07,Microsource,1503926,Lansoprazole,2.5,24,-,3883,Antiulcerative    
CMP3595,122,LAT002,B,7,LAT002B07,Microsource,1503094,Thioxolone,2.5,0.29,-,72139,Antiseborrhoic    
CMP59,123,LAT002,C,7,LAT002C07,Microsource,1500177,Chlorhexidine,2.5,6.4,+,5353524,"Antibacterial (Topical), Disinfectant    "
CMP170,124,LAT002,D,7,LAT002D07,Microsource,1500174,Chloramphenicol,2.5,3.5,-,298,"Antibacterial, Antirickettsial, Inhibits Protein Synthesis    "
CMP281,125,LAT002,E,7,LAT002E07,Microsource,1503973,2-Thiouracil,2.5,2.1,-,1269845,Thyroid Depressant    
CMP392,126,LAT002,F,7,LAT002F07,Microsource,1503226,Meclofenoxate Hydrochloride,2.5,0.16,-,4039,Nootropic    
CMP503,127,LAT002,G,7,LAT002G07,Microsource,1500995,Flutamide,2.5,18,-,3397,Antiandrogen    
CMP614,128,LAT002,H,7,LAT002H07,Microsource,1500864,Harmaline,2.5,2.4,-,5280951,"Natural Product, ex Peganium harmala CNS Stimulant, Antiparkinsonian Agent    "
CMP3495,129,LAT002,A,8,LAT002A08,Microsource,1500811,Berberine Chloride,2.5,42,-,2353,"Antipyretic, Antimalarial    "
CMP3606,130,LAT002,B,8,LAT002B08,Microsource,1500844,Cobalamine,2.5,31,-,6323226,Vitamin B12    
CMP70,131,LAT002,C,8,LAT002C08,Microsource,1501118,Meclocycline Sulfosalicylate,2.5,6.6,-,5359674,Antibacterial    
CMP181,132,LAT002,D,8,LAT002D08,Microsource,1500992,Flumequine,2.5,13,-,3374,Antibacterial    
CMP292,133,LAT002,E,8,LAT002E08,Microsource,1501104,Methacycline Hydrochloride,2.5,8.4,-,5281092,Antibacterial    
CMP403,134,LAT002,F,8,LAT002F08,Microsource,1501110,Mebendazole,2.5,3,-,4030,Anthelmintic    
CMP514,135,LAT002,G,8,LAT002G08,Microsource,1500609,Vidarabine,2.5,21,-,191,Antiviral    
CMP625,136,LAT002,H,8,LAT002H08,Microsource,1500623,Broxyquinoline,2.5,30,+,2453,"Antiseptic, Disinfectant    "
CMP3506,137,LAT002,A,9,LAT002A09,Microsource,1500632,Hexestrol,2.5,19,-,3606,   
CMP3617,138,LAT002,B,9,LAT002B09,Microsource,1503339,Sulfanitran,2.5,23,-,5334,Antibacterial    
CMP81,139,LAT002,C,9,LAT002C09,Microsource,1500873,Piperine,2.5,13,-,4840,"Natural Product, ex black pepper (Piper nigrum L.) Analeptic, Antibacterial    "
CMP192,140,LAT002,D,9,LAT002D09,Microsource,1500599,Tropicamide,2.5,81,-,5593,Anticholinergic (Opthalmic)    
CMP303,141,LAT002,E,9,LAT002E09,Microsource,1500764,Kinetin,2.5,2,-,3830,"Natural Product, ex yeast Plant Growth Regulator    "
CMP414,142,LAT002,F,9,LAT002F09,Microsource,1500618,Acriflavinium Hydrochloride,2.5,23,-,6842,"Antiinfective, Intercalating Agent    "
CMP525,143,LAT002,G,9,LAT002G09,Microsource,1504212,Chloranil,2.5,61,-,8371,Antipsoriatic    
CMP636,144,LAT002,H,9,LAT002H09,Microsource,1504215,"N,N-Hexamethyleneamiloride",2.5,16,-,1794,"Na/H+ Antiporter Inhibitor, Diuretic    "
CMP3517,145,LAT002,A,10,LAT002A10,Microsource,1504221,Phenylbutyrate Sodium ,2.5,6.5,-,7012,Antihyperlipidemic    
CMP3628,146,LAT002,B,10,LAT002B10,Microsource,1504260,Levofloxacin,2.5,100,-,4583,Antibiotic    
CMP92,147,LAT002,C,10,LAT002C10,Microsource,1504401,Pioglitazone Hydrochloride,2.5,>100 ,-,4829,Antidiabetic >100    
CMP203,148,LAT002,D,10,LAT002D10,Microsource,1504153,Norcantharidin,2.5,5.2,-,93004,Protein Phosphatase 2A Inhibitor    
CMP314,149,LAT002,E,10,LAT002E10,Microsource,1500191,Clemastine,2.5,>100 ,-,26986,Antihistaminic >100    
CMP425,150,LAT002,F,10,LAT002F10,Microsource,1503200,Cetrimonium Bromide,2.5,15,+,5974,Antiseptic    
CMP536,151,LAT002,G,10,LAT002G10,Microsource,1503322,Thiram,2.5,10,+,5455,Antifungal    
CMP647,152,LAT002,H,10,LAT002H10,Microsource,1503904,Patulin,2.5,14,-,4696,"Natural Product, ex Aspergillus clavatus, Penicillium patulum Antibiotic    "
CMP3528,153,LAT002,A,11,LAT002A11,Microsource,1501183,Estradiol Methyl Ether,2.5,55,-,13948,Estrogen    
CMP3639,154,LAT002,B,11,LAT002B11,Microsource,1501175,Flurandrenolide,2.5,8.6,-,3392,Antiinflammatory    
CMP103,155,LAT002,C,11,LAT002C11,Microsource,1500572,Thimerosal,2.5,1.5,+,5908,"Antiinfective, Preservative    "
CMP214,156,LAT002,D,11,LAT002D11,Microsource,1502068,Anthracene-9-Carboxylic Acid,2.5,40,-,2201,Cl Transport Inhibitor    
CMP325,157,LAT002,E,11,LAT002E11,Microsource,1500603,Tyrothricin,2.5,74,+,452550,Topical Antibacterial (Topical)    
CMP436,158,LAT002,F,11,LAT002F11,Microsource,1504206,Bovinocidin (3-Nitropropionic Acid),2.5,4.6,-,1678,"Natural Product, ex Aspergillus, Streptomyces spp &amp, other microorganisms Antineoplastic    "
CMP547,159,LAT002,G,11,LAT002G11,Microsource,330001,Dactinomycin,2.5,5.8,-,2019,"Natural Product, ex Actinomyces spp Antineoplastic, Intercalating Agent    "
CMP658,160,LAT002,H,11,LAT002H11,Microsource,1500775,Tetrac,2.5,20,-,65552,Thyroid Hormone    
CMP670,161,LAT003,A,2,LAT003A02,Microsource,1500814,Cantharidin,2.5,1.8,-,2545,active principle of cantharides and other insects Irritant    
CMP781,162,LAT003,B,2,LAT003B02,Microsource,1500637,Merbromin,2.5,9,-,8508,   
CMP892,163,LAT003,C,2,LAT003C02,Microsource,1500674,Mycophenolic Acid,2.5,1.9,-,4272,"Natural Product, ex Penicillium brevicompactum and other Penicillium spp Antineoplastic    "
CMP1003,164,LAT003,D,2,LAT003D02,Microsource,1500644,Phenylmercuric Acetate,2.5,0.34,+,566,Fungicide    
CMP1115,165,LAT003,E,2,LAT003E02,Microsource,100199,Deoxygedunol Acetate,2.5,27,-,3624630,derivative    
CMP1226,166,LAT003,F,2,LAT003F02,Microsource,1503640,Parthenolide,2.5,54,-,4692,"Natural Product, ex Chrysanthemum parthenicum Antiinflammatory, Immune Suppressant    "
CMP1337,167,LAT003,G,2,LAT003G02,Microsource,1502006,Carprofen,2.5,16,-,2581,"Antiinflammatory, Analgesic    "
CMP1448,168,LAT003,H,2,LAT003H02,Microsource,1500641,Pentamidine Isethionate,2.5,6.9,-,8813,"Antiprotozoal, Inhibits Nucleic Acid &amp, Protein Synthesis    "
CMP681,169,LAT003,A,3,LAT003A03,Microsource,2300229,Glyburide,2.5,75,-,3488,Antihyperglycemic    
CMP792,170,LAT003,B,3,LAT003B03,Microsource,1502112,Cycloheximide,2.5,0.21,+,2900,Protein Synthesis Inhibitor    
CMP903,171,LAT003,C,3,LAT003C03,Microsource,1501188,Ebselen,2.5,66,+,3194,"Antioxidant, Lipoxygenase Inhibitor, Inhibits Oxidation Of Ldl    "
CMP1014,172,LAT003,D,3,LAT003D03,Microsource,1502130,ACC,2.5,9,-,535,"Plant Growth Regulator (ACC) In animals, is an NMDA glutamate receptor agonist acting at the glycine site    "
CMP1126,173,LAT003,E,3,LAT003E03,Microsource,330008,"2,4-Dinitrophenol",2.5,2.6,-,1493,Uncouples Oxidative Phosphorylation    
CMP1237,174,LAT003,F,3,LAT003F03,Microsource,1500375,Mechlorethamine,2.5,7,+,4033,"Antineoplastic, Alkylating Agent    "
CMP1348,175,LAT003,G,3,LAT003G03,Microsource,1502002,Acivicin,2.5,0.64,-,2007,"Natural Product, ex Streptomyces civiceus Antineoplastic    "
CMP1459,176,LAT003,H,3,LAT003H03,Microsource,1503209,Dantrolene Sodium,2.5,>100 ,-,2952,Muscle Relaxant (Skeletal) >100    
CMP692,177,LAT003,A,4,LAT003A04,Microsource,1500580,Tolazoline Hydrochloride,2.5,inactive,-,5504,Adrenergic Blocker    
CMP803,178,LAT003,B,4,LAT003B04,Microsource,211009,Ethyl Everninate,2.5,inactive,-,80201,"Natural Product, ex lichen acids    "
CMP914,179,LAT003,C,4,LAT003C04,Microsource,330029,Atrazine,2.5,inactive,-,2256,Herbicide PS II Target    
CMP1025,180,LAT003,D,4,LAT003D04,Microsource,330034,Prometon,2.5,inactive,-,4928,Herbicide PS II Target    
CMP1137,181,LAT003,E,4,LAT003E04,Microsource,330035,Metolachlor,2.5,90,-,4169,Synthetic Herbicide Fatty Acid Elongase Inhibitor    
CMP1248,182,LAT003,F,4,LAT003F04,Microsource,330040,"2,4-Dichlorophenoxyacetic Acid",2.5,0.084,-,1486,Herbicide Auxin agonist    
CMP1359,183,LAT003,G,4,LAT003G04,Microsource,330041,"2,4-Dichlorophenoxybutyric Acid",2.5,0.66,-,1489,Herbicide Auxin agonist    
CMP1470,184,LAT003,H,4,LAT003H04,Microsource,330042,"2,4,5-Trichlorophenoxyacetic Acid",2.5,0.29,-,1480,Herbicide Auxin agonist    
CMP703,185,LAT003,A,5,LAT003A05,Microsource,330043,Alachlor,2.5,2.5,-,2078,Herbicide Fatty acid Elongase Inhibitor    
CMP814,186,LAT003,B,5,LAT003B05,Microsource,330044,"2,4-Dichlorophenoxyacetic Acid, Methyl Ester",2.5,0.085,-,1488,Herbicide Auxin agonist    
CMP925,187,LAT003,C,5,LAT003C05,Microsource,330045,"2,4-Dichlorophenoxybutyric Acid, Methyl Ester",2.5,1.2,-,1490,Herbicide Auxin agonist    
CMP1036,188,LAT003,D,5,LAT003D05,Microsource,330046,"2,4,5-Trichlorophenoxyacetic Acid, Methyl Ester",2.5,0.27,-,1482,Herbicide Auxin agonist    
CMP1148,189,LAT003,E,5,LAT003E05,Microsource,330047,Glyphosate,2.5,inactive,-,3496,Herbicide EPSP synthase inhibitor    
CMP1259,190,LAT003,F,5,LAT003F05,Microsource,330048,"2,4-Dichlorophenoxyacetic Acid, Isooctyl Ester",2.5,0.53,-,1487,Herbicide Auxin agonist    
